SMILES,Reason
C/C1=C2/[NH+]=C(/C=C3\[NH+]=C(/C(C)=C4/C(CCC(N)=O)C(C)(CC(N)=O)C(C)(C5N=C1C(C)(CCC(=O)NCC(C)OP(=O)([O-])OC1C(CO)OC(n6cnc7cc(C)c(C)cc76)C1O)C5CC(N)=O)[N]4[Co][C]#N)C(C)(CC(N)=O)C3CCC(N)=O)C(C)(C)C2CCC(N)=O,Contained NaN in final set
C1CC[CH]([Sn]([CH]2CCCCC2)[CH]2CCCCC2)CC1,Contained NaN in final set
C1C[O][Sb]2[O]CC[O][Sb]([O]1)[O]CC[O]2,Contained NaN in final set
C1N2CN3CN1C[PH]([Pt]([PH]14CN5CN(CN(C5)C1)C4)([PH]14CN5CN(CN(C5)C1)C4)[PH]14CN5CN(CN(C5)C1)C4)(C2)C3,Contained NaN in final set
C=C(C)C(=O)[O][Zn][OH],Contained NaN in final set
CC(=O)[O][Ba][O]C(C)=O,Contained NaN in final set
CC(=O)[O][Hg][c]1ccccc1,Contained NaN in final set
CC(=O)[O][Pt]([NH2])([NH2])([Cl])([Cl])[O]C(C)=O,Contained NaN in final set
CC(=O)[O][Sr][O]C(C)=O,Contained NaN in final set
CC(=O)[O][U](=[O])(=[O])[O]C(C)=O,Contained NaN in final set
CC(=O)[O][Zn][O]C(C)=O,Contained NaN in final set
CC(C)C(=O)[O][Zr]([O]C(=O)C(C)C)([O]C(=O)C(C)C)[O]C(=O)C(C)C,Contained NaN in final set
CC(O)C(=O)[O][Ag],Contained NaN in final set
CC(O)C(=O)[O][Na],Contained NaN in final set
CC(O)C(=O)[O][Zn][O]C(=O)C(C)O,Contained NaN in final set
CC1(C)CC([NH][Pt]([NH2])([Cl])[I])C(C)(C)N1O,Contained NaN in final set
CCC(=O)[O][Na],Contained NaN in final set
CCC(C)C1(CC)C(=O)N=C([O][Na])NC1=O,Contained NaN in final set
CCCCC(=O)[O][Zn][O]C(=O)CCCC,Contained NaN in final set
CCCCC(CC)COC(=O)C[S][Sn]([CH2]CCC)([CH2]CCC)[S]CC(=O)OCC(CC)CCCC,Contained NaN in final set
CCCCC(CC)COC(=O)C[S][Sn]([CH3])([CH3])[S]CC(=O)OCC(CC)CCCC,Contained NaN in final set
CCCCC(CC)COC(=O)C[S][Sn]([CH3])([S]CC(=O)OCC(CC)CCCC)[S]CC(=O)OCC(CC)CCCC,Contained NaN in final set
CCCCCCCCCCCCCCCCC[CH2][Pb][O][Pb][O][Pb][CH2]CCCCCCCCCCCCCCCCC,Contained NaN in final set
CCCCCCCCCCCC[S][Sn]([CH2]CCC)([CH2]CCC)[S]CCCCCCCCCCCC,Contained NaN in final set
CCCCCCC[CH2][Sn](=[O])[CH2]CCCCCCC,Contained NaN in final set
CCCCCCC[CH2][Sn]([CH2]CCCCCCC)([CH2]CCCCCCC)[CH2]CCCCCCC,Contained NaN in final set
CCCCCCC[CH2][Sn]([Cl])([Cl])[CH2]CCCCCCC,Contained NaN in final set
CCCCCCC[CH2][Sn]([Cl])([Cl])[Cl],Contained NaN in final set
CCCCCCC[CH2][Sn]1([CH2]CCCCCCC)[O]C(=O)C[S]1,Contained NaN in final set
CCC[CH2][Sn](=[O])[CH2]CCC,Contained NaN in final set
CCN(CC)C(=S)S[Te](SC(=S)N(CC)CC)(SC(=S)N(CC)CC)SC(=S)N(CC)CC,Contained NaN in final set
CCOC(=O)[CH](C(C)=O)[Ti]1([CH](C(C)=O)C(C)=O)[O]CCC[O]1,Contained NaN in final set
CC[As],Contained NaN in final set
COC(O)/C=C(\C)O[PH](O)(OC)OC,Contained NaN in final set
C[As](=O)(O)O,Contained NaN in final set
C[As](=O)([O-])O,Contained NaN in final set
C[As](C)(=O)O,Contained NaN in final set
C[As](C)(=O)[O-],Contained NaN in final set
C[CH2][Pb]([Cl])([CH2]C)[CH2]C,Contained NaN in final set
C[PH](C)(C)[Pt]([Cl])([Cl])[PH](C)(C)C,Contained NaN in final set
C[Se]C,Contained NaN in final set
C[Se][Se]C,Contained NaN in final set
Cl/C=C/[As](Cl)Cl,Contained NaN in final set
ClC=C[As](Cl)Cl,Contained NaN in final set
Clc1c(Cl)c(Br)c2c(c1Cl)C1=NC2=Nc2c3c(Cl)c(Br)c(Cl)c(Br)c3c3[n]2[Cu][n]2c(c4c(Cl)c(Br)c(Cl)c(Br)c4c2=NC2=NC(=N3)c3c(Cl)c(Br)c(Cl)c(Cl)c32)=N1,Contained NaN in final set
Clc1cc(Cl)c2c(c1Cl)C1=NC2/N=C2/c3c(Cl)c(Cl)c(Cl)c(Cl)c3C3/N=C4\N=C(/N=c5/c6c(Cl)c(Cl)c(Cl)c(Cl)c6/c([n]5[Cu][N]23)=N/1)c1c(Cl)c(Cl)c(Cl)c(Cl)c14,Contained NaN in final set
Cn1c(=O)c2n[se]nc2n(C)c1=O,Contained NaN in final set
NC(=O)Nc1ccc([As](=O)(O)O)cc1,Contained NaN in final set
NC(C[Se][Se]CC(N)C(=O)O)C(=O)O,Contained NaN in final set
O=C(CC(O)(CC(=O)[O][K])C(=O)[O][K])[O][K],Contained NaN in final set
O=C(CCC(=O)[O][Na])[O][Na],Contained NaN in final set
O=C(CNCP(=O)([O-])O)[O][Na],Contained NaN in final set
O=C(O)C1CCC(C(=O)O)[Se]1,Contained NaN in final set
O=C(O)CCC[Se][Se]CCCC(=O)O,Contained NaN in final set
O=C(O)CC[Se][Se]CCC(=O)O,Contained NaN in final set
O=C(O)C[CH2][Ge](=[O])[O][Ge](=[O])[CH2]CC(=O)O,Contained NaN in final set
O=C(O)[C@@H]1CC[C@@H](C(=O)O)[Se][Se]1,Contained NaN in final set
O=C([O-])C[CH2][Ge](=[O])[O][Ge](=[O])[CH2]CC(=O)[O-],Contained NaN in final set
O=C([O-])c1ccccc1C(=O)[O][K],Contained NaN in final set
O=C([O][Cu][O]C(=O)C(O)C(O)C(O)C(O)CO)C(O)C(O)C(O)C(O)CO,Contained NaN in final set
O=C([O][K])C(=O)[O][K],Contained NaN in final set
O=C([O][K])OOC(=O)[O][K],Contained NaN in final set
O=C([O][Na])C(O)C(O)C(=O)[O][K],Contained NaN in final set
O=C([O][Na])C(O)C(O)C(O)C(O)CO,Contained NaN in final set
O=C1CC2CC(=O)N3[NH][Pt]([Cl])([Cl])[NH]N1C23,Contained NaN in final set
O=C1[O][Mn][O]C1=O,Contained NaN in final set
O=C1[O][Pt]2([NH][C@@H]3CCCC[C@H]3[NH]2)[O]C1=O,Contained NaN in final set
O=C[O][Ba][O]C=O,Contained NaN in final set
O=C[O][Zn][O]C=O,Contained NaN in final set
O=[As]([O-])([O-])O,Contained NaN in final set
O=[CH][Mn+]([CH]=O)[CH]=O,Contained NaN in final set
[CH3][Hg][C]#N,Contained NaN in final set
[CH3][Pb]([CH3])([CH3])[Cl],Contained NaN in final set
[C]n1c(=O)c2n[se]nc2n([C])c1=O,Contained NaN in final set
[F][Sn]([c]1ccccc1)([c]1ccccc1)[c]1ccccc1,Contained NaN in final set
[NH2][Pt]([NH2])([Cl])[Cl],Contained NaN in final set
[OH][Sn]([CH]1CCCCC1)([CH]1CCCCC1)[CH]1CCCCC1,Contained NaN in final set
[OH][Sn]([c]1ccccc1)([c]1ccccc1)[c]1ccccc1,Contained NaN in final set
c1ccc2c(c1)Oc1ccccc1[As]2O[As]1c2ccccc2Oc2ccccc21,Contained NaN in final set
c1nc[n]([Sn]([CH]2CCCCC2)([CH]2CCCCC2)[CH]2CCCCC2)n1,Contained NaN in final set
